ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,issue_age,issue_gender,issue_campaign_shift,issue_fb_shift
1121594,26/08/2017,26/08/2017,45-49,M,10,14,14,426500,72,128.2799988,4,1.0,,,True,True,True,True
1121597,30/08/2017,30/08/2017,45-49,M,15,21,19,54237,7,10.77999985,2,1.0,,,True,True,True,True
1121598,30/08/2017,30/08/2017,45-49,M,15,19,18,506916,89,133.6999986,2,2.0,,,True,True,True,True
1121599,30/08/2017,30/08/2017,45-49,M,15,17,18,250960,42,64.87999952,2,0.0,,,True,True,True,True
1121601,30/08/2017,30/08/2017,45-49,M,16,20,18,2286228,353,603.380002,16,7.0,,,True,True,True,True
1121602,30/08/2017,30/08/2017,45-49,M,16,21,20,915451,125,220.559999,6,1.0,,,True,True,True,True
1121603,30/08/2017,30/08/2017,45-49,M,16,21,17,159478,20,33.89999998,3,1.0,,,True,True,True,True
1121605,30/08/2017,30/08/2017,45-49,M,16,20,17,1228924,190,318.9700032,6,3.0,,,True,True,True,True
1121606,30/08/2017,30/08/2017,45-49,M,16,22,17,938283,134,248.6400001,7,2.0,,,True,True,True,True
1121607,30/08/2017,30/08/2017,45-49,M,18,24,23,154572,26,40.93000007,1,1.0,,,True,True,True,True
1121609,30/08/2017,30/08/2017,45-49,M,18,19,19,378171,70,109.2500008,1,0.0,,,True,True,True,True
1121612,29/08/2017,29/08/2017,45-49,M,18,19,22,468749,84,134.1199975,6,1.0,,,True,True,True,True
1121613,29/08/2017,29/08/2017,45-49,M,19,25,25,309823,60,103.3899996,4,4.0,,,True,True,True,True
1121615,29/08/2017,29/08/2017,45-49,M,19,21,25,327227,65,116.5599996,5,0.0,,,True,True,True,True
1121616,29/08/2017,29/08/2017,45-49,M,19,23,24,334945,72,120.2999994,2,1.0,,,True,True,True,True
1121617,29/08/2017,29/08/2017,45-49,M,19,23,22,68859,15,25.45999968,1,0.0,,,True,True,True,True
1121619,30/08/2017,30/08/2017,45-49,M,20,22,26,127125,20,35.67999983,2,0.0,,,True,True,True,True
1121620,30/08/2017,30/08/2017,45-49,M,20,21,24,415798,80,131.7800006,3,1.0,,,True,True,True,True
1121622,30/08/2017,30/08/2017,45-49,M,20,22,23,107671,20,29.91000021,1,1.0,,,True,True,True,True
1121623,29/08/2017,29/08/2017,45-49,M,20,24,22,164356,28,46.7900002,2,1.0,,,True,True,True,True
1121624,30/08/2017,30/08/2017,45-49,M,20,26,25,17662,2,3.189999938,1,0.0,,,True,True,True,True
1121627,30/08/2017,30/08/2017,45-49,M,21,27,27,65339,10,16.67999983,2,0.0,,,True,True,True,True
1121628,19/08/2017,19/08/2017,45-49,M,21,25,22,59838,7,11.11000013,1,0.0,,,True,True,True,True
1121629,19/08/2017,19/08/2017,45-49,M,21,24,23,381577,81,127.5699993,2,0.0,,,True,True,True,True
1121635,19/08/2017,19/08/2017,45-49,M,22,24,27,45491,8,11.00999999,1,0.0,,,True,True,True,True
1121638,19/08/2017,19/08/2017,45-49,M,23,28,29,18946,2,3.599999905,1,0.0,,,True,True,True,True
1121641,19/08/2017,19/08/2017,45-49,M,23,29,29,114370,18,33.65999997,1,0.0,,,True,True,True,True
1121642,19/08/2017,19/08/2017,45-49,M,23,26,29,99698,21,33.3499999,1,0.0,,,True,True,True,True
1121644,19/08/2017,19/08/2017,45-49,M,24,26,25,355165,81,128.6099997,4,3.0,,,True,True,True,True
1121650,19/08/2017,19/08/2017,45-49,M,25,26,29,101431,23,33.93000031,1,1.0,,,True,True,True,True
1121652,18/08/2017,18/08/2017,45-49,M,25,30,29,123151,24,36.4400003,2,1.0,,,True,True,True,True
1121660,18/08/2017,18/08/2017,45-49,M,26,30,29,24078,4,5.769999981,1,0.0,,,True,True,True,True
1121661,18/08/2017,18/08/2017,45-49,M,27,33,30,517801,105,181.7200011,3,0.0,,,True,True,True,True
1121662,18/08/2017,18/08/2017,45-49,M,27,28,32,145104,25,41.42000008,2,1.0,,,True,True,True,True
1121664,18/08/2017,18/08/2017,45-49,M,27,31,28,179950,35,58.67999971,1,0.0,,,True,True,True,True
1121665,18/08/2017,18/08/2017,45-49,M,27,31,31,258531,46,80.33999979,2,0.0,,,True,True,True,True
1121666,18/08/2017,18/08/2017,45-49,M,27,31,29,272500,62,104.4599996,3,0.0,,,True,True,True,True
1121667,18/08/2017,18/08/2017,45-49,M,28,31,32,273197,57,87.7300005,3,0.0,,,True,True,True,True
1121668,18/08/2017,18/08/2017,45-49,M,28,30,34,775904,172,253.990002,4,2.0,,,True,True,True,True
1121669,18/08/2017,18/08/2017,45-49,M,28,33,33,120251,26,39.44000006,1,0.0,,,True,True,True,True
