ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,CPC,Conversion_Rate,success_ctr,success_cpc,success_conversion,is_success
780653,24/08/2017,24/08/2017,936,116244,30-34,F,29,33,35,9076.0,1,1.379999995,1.0,1.0,0.011018069634200088,1.379999995,100.0,False,True,True,1
776935,30/08/2017,30/08/2017,936,115587,45-49,M,36,41,38,1136.0,0,0.0,1.0,1.0,0.0,,0.0,False,False,False,0
734939,20/08/2017,20/08/2017,936,108776,35-39,F,16,19,22,104648.0,24,33.33000004,4.0,2.0,0.022934026450577173,1.3887500016666667,8.333333333333332,False,True,True,1
780797,24/08/2017,24/08/2017,936,116273,30-34,F,22,25,25,24491.0,7,9.539999962,1.0,0.0,0.028581928055203952,1.3628571374285714,0.0,False,True,False,0
1121202,28/08/2017,28/08/2017,1178,144554,30-34,M,29,32,34,581281.0,65,115.1200008,10.0,5.0,0.011182199314961266,1.7710769353846154,7.6923076923076925,False,False,True,0
747332,21/08/2017,21/08/2017,936,110856,30-34,M,64,68,65,792.0,0,0.0,1.0,1.0,0.0,,0.0,False,False,False,0
734427,29/08/2017,29/08/2017,936,108691,35-39,M,28,29,31,8259.0,3,3.980000019,1.0,0.0,0.03632401017072285,1.326666673,0.0,False,True,False,0
1121464,24/08/2017,24/08/2017,1178,144601,40-44,M,19,23,25,363456.0,71,117.5599997,7.0,1.0,0.0195346892058461,1.655774643661972,1.4084507042253522,False,True,False,0
737961,20/08/2017,20/08/2017,936,109706,30-34,F,23,29,28,523.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
710867,26/08/2017,26/08/2017,916,104270,30-34,F,63,64,68,1185.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
734433,29/08/2017,29/08/2017,936,108692,35-39,M,29,35,31,12158.0,3,4.449999928,1.0,0.0,0.024675111037999672,1.4833333093333334,0.0,False,True,False,0
776697,22/08/2017,22/08/2017,936,115547,30-34,M,10,14,13,4132.0,0,0.0,1.0,1.0,0.0,,0.0,False,False,False,0
776533,21/08/2017,21/08/2017,936,115520,45-49,F,63,64,68,63927.0,16,25.52000046,2.0,0.0,0.025028548187776684,1.59500002875,0.0,False,True,False,0
777758,24/08/2017,24/08/2017,936,115737,30-34,M,19,20,20,5209.0,1,0.959999979,2.0,0.0,0.01919754271453254,0.959999979,0.0,False,True,False,0
748231,27/08/2017,27/08/2017,936,111006,45-49,F,16,18,21,25194.0,6,7.349999905,1.0,0.0,0.023815194093831864,1.2249999841666666,0.0,False,True,False,0
738098,20/08/2017,20/08/2017,936,109738,30-34,F,64,70,68,1539.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
776353,23/08/2017,23/08/2017,936,115490,40-44,F,63,66,67,27559.0,8,13.37,1.0,0.0,0.0290286294858304,1.67125,0.0,False,True,False,0
747489,21/08/2017,21/08/2017,936,110882,40-44,M,2,7,6,4016.0,2,1.480000049,1.0,1.0,0.049800796812749,0.7400000245,50.0,False,True,True,1
747439,21/08/2017,21/08/2017,936,110874,35-39,M,29,35,33,1662.0,0,0.0,1.0,1.0,0.0,,0.0,False,False,False,0
709756,19/08/2017,19/08/2017,916,104085,40-44,M,16,21,21,10976.0,2,1.690000057,1.0,1.0,0.018221574344023325,0.8450000285,50.0,False,True,True,1
780760,24/08/2017,24/08/2017,936,116267,45-49,F,18,23,22,17167.0,5,6.910000086,1.0,0.0,0.029125648045669014,1.3820000172,0.0,False,True,False,0
950521,18/08/2017,18/08/2017,936,123514,30-34,M,21,27,25,351.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
951294,19/08/2017,19/08/2017,936,123643,35-39,F,15,16,17,699.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
738307,20/08/2017,20/08/2017,936,109788,35-39,F,31,36,36,3010.0,1,0.860000014,1.0,1.0,0.03322259136212625,0.860000014,100.0,False,True,True,1
781114,23/08/2017,23/08/2017,936,116331,40-44,F,18,24,22,4813.0,1,1.029999971,1.0,0.0,0.02077706212341575,1.029999971,0.0,False,True,False,0
779738,22/08/2017,22/08/2017,936,116081,30-34,F,28,32,33,15645.0,4,5.349999905,1.0,0.0,0.02556727388942154,1.33749997625,0.0,False,True,False,0
1121446,25/08/2017,25/08/2017,1178,144598,40-44,M,15,17,17,163181.0,26,40.02000093,1.0,1.0,0.015933227520360825,1.539230805,3.8461538461538463,False,True,True,1
950079,22/08/2017,22/08/2017,936,123440,30-34,M,16,20,22,3142.0,0,0.0,2.0,2.0,0.0,,0.0,False,False,False,0
708889,17/08/2017,17/08/2017,916,103940,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0,0.01921229586935639,1.5899999936666667,0.0,False,True,False,0
780064,21/08/2017,21/08/2017,936,116135,30-34,F,22,24,25,2554.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
734660,28/08/2017,28/08/2017,936,108729,45-49,M,18,22,23,1299.0,0,0.0,2.0,0.0,0.0,,0.0,False,False,False,0
780629,24/08/2017,24/08/2017,936,116240,30-34,F,28,34,34,2963.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
776469,22/08/2017,22/08/2017,936,115509,45-49,F,28,33,29,45397.0,15,25.41999936,1.0,1.0,0.03304183095799282,1.694666624,6.666666666666667,False,True,True,1
738582,19/08/2017,19/08/2017,936,109848,45-49,F,10,16,12,46150.0,15,20.17999983,1.0,1.0,0.03250270855904659,1.3453333219999999,6.666666666666667,False,True,True,1
780700,18/08/2017,18/08/2017,936,116252,30-34,F,27,33,30,3745.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
1121372,29/08/2017,29/08/2017,1178,144585,35-39,M,28,34,34,378350.0,55,96.48000073,4.0,0.0,0.01453680454605524,1.7541818314545454,0.0,False,False,False,0
737995,20/08/2017,20/08/2017,936,109714,30-34,F,26,27,31,1873.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
779644,19/08/2017,19/08/2017,936,116065,30-34,F,16,20,20,51816.0,8,10.2299999,2.0,1.0,0.015439246564767639,1.2787499875,12.5,False,True,True,1
781857,18/08/2017,18/08/2017,936,116455,30-34,M,20,21,24,9134.0,3,4.180000067,2.0,0.0,0.032844317932997594,1.3933333556666667,0.0,False,True,False,0
1121466,24/08/2017,24/08/2017,1178,144601,40-44,M,19,23,25,438983.0,81,143.4300001,3.0,1.0,0.018451739589004586,1.7707407419753087,1.2345679012345678,False,False,False,0
1121425,23/08/2017,23/08/2017,1178,144594,35-39,M,2,8,7,85970.0,14,24.78000021,1.0,1.0,0.016284750494358496,1.7700000150000001,7.142857142857142,False,False,True,0
710682,29/08/2017,29/08/2017,916,104239,30-34,F,27,33,32,1186.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
950578,19/08/2017,19/08/2017,936,123523,30-34,M,32,37,37,550.0,0,0.0,1.0,0.0,0.0,,0.0,False,False,False,0
735247,18/08/2017,18/08/2017,936,108827,45-49,F,20,24,25,14257.0,6,8.789999962,1.0,0.0,0.04208459002595216,1.4649999936666667,0.0,False,True,False,0
778421,27/08/2017,27/08/2017,936,115848,40-44,F,20,21,23,6699.0,2,3.090000033,1.0,0.0,0.02985520226899537,1.5450000165,0.0,False,True,False,0
